#mu n n_h sigma_xx sigma_yy sigma_xy
-0.511278195488722 -0.0016193913692679196 1.1391711255817316 -3.0138346901163186e-37 -3.013834690116302e-37 4.9766774347471664e-55
-0.4912280701754388 -0.007279616153814672 1.1336669211944383 -3.0160676340891777e-37 -3.0160676340891514e-37 5.008253277556798e-55
-0.4711779448621556 -0.01290408064873283 1.128181943476969 -3.0180333793956038e-37 -3.0180333793956163e-37 5.039164539173279e-55
-0.4511278195488724 -0.018493520872257196 1.122714968703523 -3.0197363405200824e-37 -3.019736340520113e-37 5.0694184864020126e-55
-0.43107769423558917 -0.02404865629240338 1.1172648720364375 -3.021180804082161e-37 -3.0211808040821818e-37 5.099022110821301e-55
-0.41102756892230596 -0.029570186631985518 1.1118306258586386 -3.0223709213387206e-37 -3.0223709213387172e-37 5.127982069324723e-55
-0.39097744360902276 -0.0350587905676929 1.106411304547882 -3.023310706742606e-37 -3.023310706742632e-37 5.1563046155910034e-55
-0.37092731829573955 -0.04051512613489816 1.1010060676298898 -3.0240040470019513e-37 -3.0240040470019375e-37 5.183995668426429e-55
-0.35087719298245634 -0.04593982778695538 1.0956141535671056 -3.0244547118379094e-37 -3.024454711837929e-37 5.2110608417504596e-55
-0.33082706766917314 -0.051333510613162936 1.0902348676134375 -3.024666366904334e-37 -3.0246663669043196e-37 5.237505513978646e-55
-0.31077694235588993 -0.056696767860769715 1.084867570627387 -3.0246425852806924e-37 -3.024642585280661e-37 5.263334893045486e-55
-0.2907268170426067 -0.06203017496142982 1.0795116783640595 -3.0243868546109652e-37 -3.0243868546109473e-37 5.288554019610036e-55
-0.2706766917293235 -0.06733428928785967 1.074166647541065 -3.0239025837769228e-37 -3.0239025837769353e-37 5.3131678353046585e-55
-0.2506265664160403 -0.07260965093026495 1.0688319792867602 -3.0231931032398742e-37 -3.02319310323989e-37 5.3371811467534304e-55
-0.2305764411027571 -0.07785678540694119 1.063507205129823 -3.0222616659165026e-37 -3.022261665916496e-37 5.3605986788101666e-55
-0.2105263157894739 -0.08307620131426119 1.0581918845970546 -3.0211114433515796e-37 -3.0211114433515796e-37 5.383425056271171e-55
-0.1904761904761907 -0.08826839482498894 1.0528855953979082 -3.0197455216188897e-37 -3.019745521618908e-37 5.4056648232026966e-55
-0.17042606516290748 -0.09343384681380895 1.04758792206172 -3.0181668967645204e-37 -3.0181668967645325e-37 5.4273224712122245e-55
-0.15037593984962427 -0.09857302675243274 1.0422984546000873 -3.016378469292055e-37 -3.0163784692920652e-37 5.448402414794331e-55
-0.13032581453634107 -0.10368639216287301 1.037016775619391 -3.014383043812933e-37 -3.0143830438129133e-37 5.468909046363522e-55
-0.11027568922305786 -0.10877438988511545 1.0317424705768101 -3.0121833296047236e-37 -3.0121833296047144e-37 5.488846675213465e-55
-0.09022556390977465 -0.11383745879185292 1.026475127033898 -3.0097819508067344e-37 -3.0097819508067248e-37 5.508219558171418e-55
-0.07017543859649145 -0.11887602792246632 1.0212143563168092 -3.007181461008545e-37 -3.0071814610085557e-37 5.527031826478392e-55
-0.05012531328320824 -0.12389052070906592 1.0159598128188656 -3.0043843666236225e-37 -3.00438436662363e-37 5.5452874535173755e-55
-0.030075187969925032 -0.12888135106358312 1.0107112184996014 -3.0013931545246886e-37 -3.0013931545246978e-37 5.562990206765399e-55
-0.010025062656641825 -0.13384892591474307 1.0054683913823894 -2.9982103186016595e-37 -2.9982103186016437e-37 5.5801435695237785e-55
0.010025062656641381 -0.13879364133791472 1.0002312526889237 -2.9948383820066637e-37 -2.994838382006636e-37 5.596750760841284e-55
0.030075187969924144 -0.14371588137683045 0.9949998346770224 -2.991279901923854e-37 -2.9912799019238615e-37 5.612814686112975e-55
0.050125313283207795 -0.14861601666761026 0.9897742484238199 -2.9875374572053387e-37 -2.9875374572053545e-37 5.62833804930875e-55
0.07017543859649145 -0.1534944008254353 0.9845546456010493 -2.9836136090849695e-37 -2.983613609084993e-37 5.643323405581981e-55
0.09022556390977421 -0.158351373529116 0.9793411496261544 -2.979510843828646e-37 -2.9795108438286503e-37 5.657773329164756e-55
0.11027568922305697 -0.1631872584621603 0.9741337865151862 -2.9752315040353077e-37 -2.9752315040352964e-37 5.671690553389092e-55
0.13032581453634062 -0.16800237070638158 0.9689324277995036 -2.97077772694781e-37 -2.9707777269478145e-37 5.6850780794559946e-55
0.15037593984962427 -0.17279701915994572 0.9637367552455597 -2.9661514125683638e-37 -2.966151412568361e-37 5.697939280851075e-55
0.17042606516290704 -0.17757151426381235 0.9585462856531016 -2.9613542365025566e-37 -2.9613542365025854e-37 5.710277829131921e-55
0.1904761904761898 -0.1823261728270924 0.9533604311360864 -2.9563877238689455e-37 -2.956387723868951e-37 5.722097637636657e-55
0.21052631578947345 -0.18706131921508073 0.9481786217558974 -2.9512533724795257e-37 -2.951253372479514e-37 5.733402609893439e-55
0.2305764411027571 -0.1917772863477325 0.9430004347590887 -2.9459528079736453e-37 -2.945952807973687e-37 5.744196450216868e-55
0.25062656641603986 -0.19647440620919476 0.937825718940187 -2.9404879259589717e-37 -2.9404879259589713e-37 5.75448243213144e-55
0.2706766917293226 -0.2011530036518916 0.9326546620990639 -2.934860975887173e-37 -2.9348609758871673e-37 5.764263268533767e-55
