#mu n n_h sigma_xx sigma_yy sigma_xy	#mu          density      sigma1_xx       sigma2_xx       sigma1_xy       sigma2_xy       alpha1_xx       alpha2_xx       alpha1_xy       alpha2_xy       beta1_xx        beta2_xx        beta1_xy        beta2_xy
-1.293233082706767 0.2595372889397458 -0.7039783232363475 1.3237012843886784e-37 1.3237012843886807e-37 -1.5534965751384674e-55	-1.30000000  0.26232325   1.59425487e+00  1.59431177e+00  3.69511017e+00  3.69542318e+00  1.52106354e-02  1.56552203e-02  1.11269420e-01  1.09991705e-01  4.21055746e+00  4.21110270e+00  9.75611824e+00  9.75546926e+00 
-1.2731829573934839 0.25140508529446415 -0.7001131803261438 1.3333826130680767e-37 1.3333826130680813e-37 -1.585006063656787e-55	-1.28000000  0.25415022   1.60569229e+00  1.60564493e+00  3.77868550e+00  3.77539134e+00  1.50752258e-02  1.45825336e-02  1.06906035e-01  1.08623199e-01  4.24133961e+00  4.24077097e+00  9.97565396e+00  9.97035127e+00 
-1.2531328320802007 0.24333705108183068 -0.6930658044617043 1.341974745647664e-37 1.3419747456476626e-37 -1.6218243656192709e-55	-1.26000000  0.24609495   1.61678173e+00  1.61672346e+00  3.85628205e+00  3.86112670e+00  1.40233426e-02  1.45134398e-02  1.06635422e-01  1.03865612e-01  4.27013061e+00  4.27055412e+00  1.01839008e+01  1.01921979e+01 
-1.2330827067669174 0.23545346279915336 -0.6900576625796707 1.3513721224603488e-37 1.3513721224603532e-37 -1.6517873457900182e-55	-1.24000000  0.23815535   1.62719160e+00  1.62749121e+00  3.93964033e+00  3.93534697e+00  1.40242930e-02  1.35415821e-02  1.01674485e-01  1.05549581e-01  4.29841128e+00  4.29842070e+00  1.04000815e+01  1.03936849e+01 
-1.2130325814536342 0.227591306305313 -0.6836265818940561 1.358675239251595e-37 1.3586752392515897e-37 -1.6853961074831095e-55	-1.22000000  0.23031550   1.63781256e+00  1.63718765e+00  4.01284948e+00  4.01506374e+00  1.29884475e-02  1.34942677e-02  1.03320970e-01  9.86573787e-02  4.32570734e+00  4.32505494e+00  1.05997847e+01  1.06002081e+01 
-1.192982456140351 0.21989956258163834 -0.6806967262426825 1.368079467414849e-37 1.3680794674148454e-37 -1.7161632359734723e-55	-1.20000000  0.22257904   1.64694535e+00  1.64787524e+00  4.09065440e+00  4.09079554e+00  1.30232585e-02  1.24560556e-02  9.61528402e-02  1.01305286e-01  4.35091547e+00  4.35219375e+00  1.07986258e+01  1.08053842e+01 
-1.1729323308270678 0.21226443531444072 -0.6745834522878789 1.374389482272554e-37 1.3743894822725515e-37 -1.7477268916843518e-55	-1.18000000  0.21494477   1.65741647e+00  1.65630188e+00  4.16540556e+00  4.16379296e+00  1.19799662e-02  1.26360463e-02  1.00150452e-01  9.45587470e-02  4.37742561e+00  4.37578358e+00  1.10038503e+01  1.09918223e+01 
-1.1528822055137846 0.20473263647648654 -0.672481419619638 1.3832037662611301e-37 1.3832037662611328e-37 -1.7757492600513164e-55	-1.16000000  0.20739752   1.66536240e+00  1.66648336e+00  4.23555591e+00  4.23716645e+00  1.21946004e-02  1.14345318e-02  9.17729732e-02  9.79875949e-02  4.39986093e+00  4.40145483e+00  1.11816803e+01  1.11951438e+01 
-1.1328320802005014 0.19729467320840433 -0.6658540840905595 1.3892533969943995e-37 1.3892533969944057e-37 -1.809145403757383e-55	-1.14000000  0.19994258   1.67524910e+00  1.67430870e+00  4.30886212e+00  4.30866699e+00  1.09265427e-02  1.18017649e-02  9.64185775e-02  8.93295082e-02  4.42459781e+00  4.42347685e+00  1.13842128e+01  1.13733968e+01 
-1.1127819548872182 0.18994205851220025 -0.6646885176321863 1.397070261386359e-37 1.397070261386362e-37 -1.8327698257991817e-55	-1.12000000  0.19257856   1.68289244e+00  1.68349246e+00  4.37913824e+00  4.37702905e+00  1.14775934e-02  1.04722487e-02  8.76322635e-02  9.57469140e-02  4.44618706e+00  4.44651000e+00  1.15600964e+01  1.15652527e+01 
-1.092731829573935 0.18265501674693385 -0.6579967904218578 1.4030299336640593e-37 1.40302993366405e-37 -1.8672381185800963e-55	-1.10000000  0.18529122   1.69134108e+00  1.69119944e+00  4.44336259e+00  4.44796438e+00  9.94169816e-03  1.10966762e-02  9.38376945e-02  8.47437284e-02  4.46745567e+00  4.46809961e+00  1.17410751e+01  1.17429614e+01 
-1.0726817042606518 0.17548896097049582 -0.6568891904166484 1.4098832647596192e-37 1.4098832647596098e-37 -1.8887035733781257e-55	-1.08000000  0.17808769   1.69936668e+00  1.69897118e+00  4.51743434e+00  4.51078113e+00  1.07761779e-02  9.45444739e-03  8.26564138e-02  9.24612126e-02  4.48943308e+00  4.48781219e+00  1.19263115e+01  1.19174775e+01 
-1.0526315789473686 0.16833417096539782 -0.6508614339258721 1.4158749188873886e-37 1.4158749188874002e-37 -1.922431371148382e-55	-1.06000000  0.17096516   1.70614233e+00  1.70712441e+00  4.57522655e+00  4.58304853e+00  9.01323976e-03  1.05043317e-02  9.15099058e-02  8.14578102e-02  4.50718947e+00  4.50966722e+00  1.20872234e+01  1.21019125e+01 
-1.0325814536340854 0.161345166379818 -0.6491868417735193 1.4215183590164587e-37 1.4215183590164602e-37 -1.9427854561925332e-55	-1.04000000  0.16391075   1.71461792e+00  1.71301979e+00  4.64696975e+00  4.63906464e+00  1.01516035e-02  8.51619758e-03  7.92783849e-02  8.89577715e-02  4.52904098e+00  4.52591599e+00  1.22733970e+01  1.22543585e+01 
-1.0125313283208022 0.15430943572932698 -0.6443970743610145 1.4279417892913322e-37 1.427941789291338e-37 -1.9749543128713003e-55	-1.02000000  0.15693351   1.71972451e+00  1.72195188e+00  4.70429668e+00  4.71125531e+00  8.11499149e-03  9.83168551e-03  8.69724554e-02  7.84149159e-02  4.54424187e+00  4.54775595e+00  1.24230244e+01  1.24450433e+01 
-0.992481203007519 0.14749002142427559 -0.6412638172010943 1.43209359758174e-37 1.4320935975817493e-37 -1.9961615073594393e-55	-1.00000000  0.15002827   1.72885103e+00  1.72600366e+00  4.77134045e+00  4.76611235e+00  9.48639981e-03  7.79428722e-03  7.83394768e-02  8.49309312e-02  4.56530852e+00  4.56168017e+00  1.26081186e+01  1.25841058e+01 
-0.9724310776942358 0.14056982826297404 -0.6387999017221588 1.4391326192836338e-37 1.4391326192836353e-37 -2.023608055615532e-55	-0.98000000  0.14318446   1.73209115e+00  1.73551301e+00  4.82779962e+00  4.83091295e+00  7.48132562e-03  9.00384898e-03  8.11660329e-02  7.74453797e-02  4.57863599e+00  4.58211607e+00  1.27437948e+01  1.27692664e+01 
-0.9523809523809526 0.13389168833145126 -0.6331796088112295 1.441771940444483e-37 1.4417719404444848e-37 -2.049065420045526e-55	-0.96000000  0.13641263   1.74195263e+00  1.73805511e+00  4.89113734e+00  4.88997300e+00  8.51319304e-03  7.33050979e-03  7.82419790e-02  7.81921617e-02  4.59829433e+00  4.59518123e+00  1.29308475e+01  1.29040223e+01 
-0.9323308270676693 0.1271103373172433 -0.6334302017017598 1.4494585525264582e-37 1.4494585525264577e-37 -2.0701529893258322e-55	-0.94000000  0.12970444   1.74368237e+00  1.74788614e+00  4.94766865e+00  4.94763069e+00  7.26729609e-03  7.93932489e-03  7.47708452e-02  7.93631254e-02  4.61079441e+00  4.61339581e+00  1.30554007e+01  1.30835982e+01 
-0.9122807017543861 0.12053167874313875 -0.6258315992693648 1.450653405104115e-37 1.4506534051041133e-37 -2.098743877330255e-55	-0.92000000  0.12305283   1.75354965e+00  1.74928676e+00  5.00549831e+00  5.00541081e+00  7.24510132e-03  7.21949812e-03  7.96458798e-02  7.00063125e-02  4.62802035e+00  4.62596640e+00  1.32368197e+01  1.32073410e+01 
-0.8922305764411029 0.11390716969728787 -0.6273102130266341 1.458738100795242e-37 1.4587381007952424e-37 -2.1172000762380656e-55	-0.90000000  0.11646853   1.75484528e+00  1.75885261e+00  5.06206933e+00  5.06411996e+00  7.28750622e-03  6.60695738e-03  6.66976411e-02  8.14252426e-02  4.64052783e+00  4.64213698e+00  1.33586310e+01  1.33889874e+01 
-0.8721804511278197 0.10741003468984345 -0.6198338326923802 1.4592322367527253e-37 1.4592322367527253e-37 -2.144189471037838e-55	-0.88000000  0.10993985   1.76358256e+00  1.76018206e+00  5.11970575e+00  5.11361229e+00  5.97100174e-03  7.30158355e-03  8.23092117e-02  6.30973710e-02  4.65542695e+00  4.65401464e+00  1.35316460e+01  1.35013963e+01 
-0.8521303258145365 0.100932939417258 -0.6200862619549856 1.4664224849606669e-37 1.4664224849606719e-37 -2.1644906737911304e-55	-0.86000000  0.10346437   1.76559916e+00  1.76806425e+00  5.16589880e+00  5.17808300e+00  7.18595593e-03  5.40498223e-03  5.94745076e-02  8.18233268e-02  4.66700275e+00  4.66859241e+00  1.36477380e+01  1.36764456e+01 
-0.8320802005012533 0.0945213379029235 -0.6152253534531774 1.467999302402141e-37 1.4679993024021424e-37 -2.1862865359266133e-55	-0.84000000  0.09705127   1.77217919e+00  1.77087721e+00  5.23589032e+00  5.21603307e+00  5.09558748e-03  6.98363990e-03  8.18138936e-02  5.84584969e-02  4.68132178e+00  4.67912202e+00  1.38171588e+01  1.37917365e+01 
-0.8120300751879701 0.08816894373701945 -0.6118420270139585 1.472483636456552e-37 1.472483636456554e-37 -2.211827511352912e-55	-0.82000000  0.09068655   1.77583090e+00  1.77592845e+00  5.26233475e+00  5.29051466e+00  6.50282008e-03  4.95894626e-03  5.76745434e-02  7.93216367e-02  4.69020116e+00  4.69339138e+00  1.39286205e+01  1.39490917e+01 
-0.7919799498746869 0.08185952278903463 -0.6116325232904583 1.4765127690029308e-37 1.4765127690029314e-37 -2.22471021925588e-55	-0.80000000  0.08437365   1.77974778e+00  1.78063620e+00  5.34737451e+00  5.31144960e+00  5.06247852e-03  5.78381426e-03  7.52625248e-02  5.82934659e-02  4.70534489e+00  4.70097368e+00  1.40853161e+01  1.40707581e+01 
-0.7719298245614037 0.07559440040913501 -0.6034606498151971 1.4779537726895909e-37 1.4779537726895932e-37 -2.2592399085565853e-55	-0.78000000  0.07811815   1.78487732e+00  1.78350699e+00  5.35874244e+00  5.40033986e+00  4.94172916e-03  5.42994898e-03  6.15947124e-02  7.11617791e-02  4.71103952e+00  4.71645259e+00  1.42064923e+01  1.42152306e+01 
-0.7518796992481205 0.0694228242452829 -0.6074912537738546 1.4835017971809735e-37 1.4835017971809818e-37 -2.2611310311192016e-55	-0.76000000  0.07190558   1.78737574e+00  1.78847835e+00  5.44941364e+00  5.40551162e+00  5.80875248e-03  3.94970681e-03  6.46127874e-02  6.43020779e-02  4.72661477e+00  4.72070723e+00  1.43405611e+01  1.43360777e+01 
-0.7318295739348373 0.0632012644611083 -0.5970044649644121 1.4842097355659429e-37 1.4842097355659502e-37 -2.303045822756337e-55	-0.74000000  0.06574435   1.79161063e+00  1.79164118e+00  5.45704681e+00  5.49902239e+00  3.08674082e-03  6.13301014e-03  6.79270997e-02  5.84419818e-02  4.73067148e+00  4.73613950e+00  1.44694161e+01  1.44724608e+01 
-0.7117794486215541 0.05718376561517635 -0.6006302688607924 1.4878914370932848e-37 1.48789143709328e-37 -2.3005139985939845e-55	-0.72000000  0.05963370   1.79592625e+00  1.79399077e+00  5.54223190e+00  5.50650757e+00  6.20759464e-03  2.55536842e-03  5.36003122e-02  7.17530124e-02  4.74421369e+00  4.74033860e+00  1.45965323e+01  1.45914717e+01 
-0.6917293233082709 0.051013313699427854 -0.5937414342997916 1.4917925385608803e-37 1.4917925385608728e-37 -2.339424911778641e-55	-0.70000000  0.05356143   1.79599507e+00  1.80026311e+00  5.55736902e+00  5.58345123e+00  2.41846271e-03  5.74438558e-03  7.26924329e-02  4.84992271e-02  4.75009327e+00  4.75130932e+00  1.47107685e+01  1.47209140e+01 
-0.6716791979949877 0.045088507026686764 -0.5912139488987586 1.490023399979854e-37 1.490023399979858e-37 -2.3438570010020177e-55	-0.68000000  0.04753972   1.80445339e+00  1.79800166e+00  5.62553311e+00  5.61080809e+00  4.79162216e-03  2.90178216e-03  4.65475762e-02  7.31574369e-02  4.75784634e+00  4.75988635e+00  1.48495153e+01  1.48329482e+01 
-0.6516290726817044 0.03905545637984309 -0.5917708474891858 1.499371540745108e-37 1.4993715407451038e-37 -2.3711256375330262e-55	-0.66000000  0.04156185   1.80005277e+00  1.80784545e+00  5.65893438e+00  5.66288050e+00  3.88918670e-03  3.33682295e-03  7.16916031e-02  4.63943358e-02  4.76864085e+00  4.76356727e+00  1.49444958e+01  1.49662453e+01 
-0.6315789473684212 0.03311626126389533 -0.5827008687614559 1.4923635690019375e-37 1.4923635690019486e-37 -2.3855757862625922e-55	-0.64000000  0.03562176   1.81044225e+00  1.80278502e+00  5.70333262e+00  5.70758461e+00  1.54586035e-03  5.11450830e-03  4.64095047e-02  6.76319225e-02  4.76967599e+00  4.77658252e+00  1.50843959e+01  1.50616070e+01 
-0.611528822055138 0.02730395915774586 -0.5871382261018823 1.5038745466948187e-37 1.50387454669482e-37 -2.404210378969007e-55	-0.62000000  0.02973126   1.80626658e+00  1.81196698e+00  5.75416440e+00  5.74554547e+00  6.35200858e-03 -9.22942716e-05  6.47057823e-02  4.86429032e-02  4.78309124e+00  4.77638268e+00  1.51809863e+01  1.51987950e+01 
-0.5914786967418548 0.02130731252632645 -0.5782993390407138 1.4979229431357854e-37 1.4979229431357802e-37 -2.421674985807577e-55	-0.60000000  0.02387716   1.81229967e+00  1.81024867e+00  5.78508229e+00  5.79442713e+00 -1.28483445e-03  7.06353622e-03  4.94392021e-02  6.13007360e-02  4.78344252e+00  4.78760017e+00  1.52995988e+01  1.52927312e+01 
-0.5714285714285716 0.015684766698418007 -0.5782884267352327 1.5034285860394216e-37 1.5034285860394239e-37 -2.439555555350951e-55	-0.58000000  0.01806058   1.81475094e+00  1.81213922e+00  5.83709176e+00  5.82899943e+00  6.91764115e-03 -1.65479457e-03  5.86913526e-02  4.87013792e-02  4.79110712e+00  4.79140695e+00  1.54132341e+01  1.54058955e+01 
-0.5513784461152884 0.009716936612991 -0.5769685001543402 1.5064610041034513e-37 1.5064610041034432e-37 -2.455010145287068e-55	-0.56000000  0.01228981   1.81178230e+00  1.81894100e+00  5.86989744e+00  5.87730510e+00 -9.58368443e-04  5.84167395e-03  4.82032004e-02  5.89234375e-02  4.79903134e+00  4.79361129e+00  1.55068308e+01  1.55267586e+01 
-0.5313283208020052 0.004141778845672683 -0.5687984237942804 1.5009427899385405e-37 1.5009427899385416e-37 -2.4720628034432844e-55	-0.54000000  0.00655108   1.82219236e+00  1.81188606e+00  5.91639010e+00  5.90653013e+00  3.82904819e-03  5.47006518e-04  5.81349333e-02  4.54950094e-02  4.79602654e+00  4.80548514e+00  1.56303581e+01  1.56050461e+01 
-0.511278195488722 -0.0016433691207891066 -0.5736540680969605 1.5130277230836609e-37 1.513027723083657e-37 -2.4907681277650698e-55	-0.52000000  0.00085328   1.81322290e+00  1.82424542e+00  5.94467596e+00  5.96114584e+00  2.54367951e-03  1.39693979e-03  4.40794888e-02  5.72658579e-02  4.81056314e+00  4.79980381e+00  1.57166542e+01  1.57361574e+01 
-0.4912280701754388 -0.007301826821266122 -0.5637761738902547 1.5022104692838144e-37 1.5022104692838075e-37 -2.4982992469741813e-55	-0.50000000 -0.00480438   1.82454755e+00  1.81560760e+00  6.00257620e+00  5.97645528e+00 -8.46118231e-04  4.42893804e-03  5.50756428e-02  4.55783509e-02  4.80457659e+00  4.81302974e+00  1.58249410e+01  1.58225247e+01 
-0.4711779448621556 -0.012842243906614037 -0.5649337969153915 1.5129798954946078e-37 1.5129798954946084e-37 -2.5290555206833438e-55	-0.48000000 -0.01043463   1.81901775e+00  1.82358823e+00  6.00886027e+00  6.04385502e+00  5.48684209e-03 -2.40856307e-03  4.84151422e-02  4.82805230e-02  4.81360488e+00  4.81062677e+00  1.59316586e+01  1.59106854e+01 
-0.4511278195488724 -0.01857298991650702 -0.5631896019205922 1.508761697161368e-37 1.5087616971613663e-37 -2.5227619881718742e-55	-0.46000000 -0.01602433   1.82210601e+00  1.82287291e+00  6.08418707e+00  6.04612280e+00 -2.77364771e-03  5.46662876e-03  4.04095826e-02  5.53688782e-02  4.81717616e+00  4.81330864e+00  1.60023599e+01  1.60438258e+01 
-0.43107769423558917 -0.023973055771787433 -0.554725836610568 1.5087951227681885e-37 1.5087951227681891e-37 -2.561366679241586e-55	-0.44000000 -0.02158039   1.82601806e+00  1.82064228e+00  6.08292059e+00  6.11361562e+00  4.29975608e-03 -2.00435546e-03  6.28065502e-02  3.13952185e-02  4.81272860e+00  4.82221174e+00  1.61362154e+01  1.60875208e+01 
-0.41102756892230596 -0.029623751015146693 -0.5604479814196819 1.5148818655087804e-37 1.5148818655087779e-37 -2.555711519136775e-55	-0.42000000 -0.02710623   1.82027598e+00  1.82807746e+00  6.14019493e+00  6.12874381e+00 -5.23822531e-04  2.35700017e-03  2.33830866e-02  6.70057835e-02  4.82541611e+00  4.81390405e+00  1.61892793e+01  1.62249303e+01 
-0.39097744360902276 -0.03503893903469035 -0.5500526562229137 1.5076372765075172e-37 1.5076372765075184e-37 -2.5791646860730925e-55	-0.40000000 -0.03259111   1.82856209e+00  1.82112571e+00  6.17803575e+00  6.16145616e+00  4.01861575e-04  1.12178983e-03  6.79145564e-02  2.22159424e-02  4.81695132e+00  4.82592159e+00  1.63010140e+01  1.62982156e+01 
-0.37092731829573955 -0.04050516763896739 -0.5508821396016611 1.5148857861302521e-37 1.5148857861302473e-37 -2.600103857149037e-55	-0.38000000 -0.03804996   1.82281984e+00  1.82761525e+00  6.17798560e+00  6.22347259e+00  2.15636672e-03 -1.06261547e-03  2.67115726e-02  6.06611654e-02  4.82395615e+00  4.82105517e+00  1.64020512e+01  1.63617951e+01 
-0.35087719298245634 -0.045966738727827305 -0.5504878905872108 1.5112035743869977e-37 1.5112035743869954e-37 -2.5893322504610897e-55	-0.36000000 -0.04347739   1.82631646e+00  1.82500554e+00  6.26846195e+00  6.20352843e+00 -1.62681443e-03  2.28876773e-03  4.71759068e-02  3.76480519e-02  4.82558396e+00  4.82170626e+00  1.64359580e+01  1.65129691e+01 
-0.33082706766917314 -0.05130611627802817 -0.5405367575712657 1.5118037455835476e-37 1.5118037455835453e-37 -2.6390961193248808e-55	-0.34000000 -0.04886751   1.82649338e+00  1.82515588e+00  6.23395366e+00  6.29984324e+00  1.68243858e-03 -1.32597160e-03  5.30447527e-02  3.16701591e-02  4.82006717e+00  4.82805955e+00  1.66022506e+01  1.65120945e+01 
-0.31077694235588993 -0.05671485249968389 -0.546895940475016 1.5133159557263179e-37 1.5133159557263127e-37 -2.6136301344254337e-55	-0.32000000 -0.05423423   1.82479401e+00  1.82685560e+00  6.31917166e+00  6.27432165e+00 -7.60766428e-04  6.96354556e-04  1.61515434e-02  6.46956018e-02  4.82772657e+00  4.82048402e+00  1.66020892e+01  1.66714541e+01 
-0.2907268170426067 -0.062018372483628736 -0.5377798814946421 1.5119692925090762e-37 1.5119692925090747e-37 -2.6532061602300454e-55	-0.30000000 -0.05956711   1.82630695e+00  1.82535084e+00  6.32690688e+00  6.33337683e+00  2.47383254e-05 -4.28650644e-04  7.05992884e-02  8.83000923e-03  4.82317083e+00  4.82513914e+00  1.67325176e+01  1.67149706e+01 
-0.2706766917293235 -0.06734727591112888 -0.5355039958541524 1.510874509896656e-37 1.5108745098966535e-37 -2.6606250698189465e-55	-0.28000000 -0.06487088   1.82585722e+00  1.82514055e+00  6.33896898e+00  6.37601641e+00 -7.29361697e-04 -2.87373992e-05  1.19822581e-02  6.65535448e-02  4.82093252e+00  4.82571535e+00  1.68204046e+01  1.67721777e+01 
-0.2506265664160403 -0.07258730488332432 -0.5389226170973584 1.5132804464715034e-37 1.5132804464715098e-37 -2.6521741456283664e-55	-0.26000000 -0.07015050   1.82456295e+00  1.82580611e+00  6.42212457e+00  6.35237020e+00  3.68116261e-04 -1.57382853e-03  5.14252914e-02  2.34572444e-02  4.82672066e+00  4.81807666e+00  1.68237107e+01  1.69256760e+01 
-0.2305764411027571 -0.07789358142775171 -0.5266425746175467 1.5103921028223981e-37 1.5103921028223981e-37 -2.7036660864069996e-55	-0.24000000 -0.07539215   1.82453072e+00  1.82498783e+00  6.37788796e+00  6.45633051e+00 -2.23649285e-03  7.72589562e-04  4.21067259e-02  3.25933714e-02  4.81802978e+00  4.82439927e+00  1.70134097e+01  1.68937818e+01 
-0.2105263157894739 -0.08303818497746795 -0.5321968834206652 1.508889411159573e-37 1.508889411159567e-37 -2.6701281228261375e-55	-0.22000000 -0.08061094   1.82597436e+00  1.82202226e+00  6.47089283e+00  6.41263283e+00  3.52752956e-04 -2.14725736e-03  1.40910595e-02  5.81763764e-02  4.81839403e+00  4.82029369e+00  1.69748018e+01  1.70649338e+01 
-0.1904761904761907 -0.08827858164095637 -0.5273593806497332 1.5143494653619267e-37 1.5143494653619242e-37 -2.7141581374917487e-55	-0.20000000 -0.08580677   1.81968519e+00  1.82692686e+00  6.46326681e+00  6.47924001e+00 -9.65432873e-04 -1.23556251e-03  6.59139069e-02  3.42986437e-03  4.82361379e+00  4.81159915e+00  1.71081456e+01  1.70857939e+01 
-0.17042606516290748 -0.09346730797798508 -0.5190630365137379 1.5031923729758603e-37 1.5031923729758595e-37 -2.7170562549981605e-55	-0.18000000 -0.09097035   1.82626283e+00  1.81855088e+00  6.48078359e+00  6.51318176e+00 -3.53178965e-03  1.01728671e-03  6.20318718e-03  6.33277344e-02  4.80640686e+00  4.82395932e+00  1.71937422e+01  1.71364275e+01 
-0.15037593984962427 -0.09849672508169527 -0.527367594789016 1.512496236262386e-37 1.512496236262389e-37 -2.707476971149544e-55	-0.16000000 -0.09611188   1.81948108e+00  1.82323926e+00  6.55443592e+00  6.48699093e+00  2.66326135e-03 -5.56214398e-03  4.80431870e-02  1.79617400e-02  4.81900101e+00  4.80558890e+00  1.71706519e+01  1.72857524e+01 
-0.13032581453634107 -0.10378450222602953 -0.5143880539059199 1.5074814292464469e-37 1.50748142924645e-37 -2.7574184283293823e-55	-0.14000000 -0.10122135   1.81840337e+00  1.82225732e+00  6.51117954e+00  6.58625073e+00 -5.97992815e-03  2.82036859e-03  3.61597011e-02  2.83210697e-02  4.80985218e+00  4.80925284e+00  1.73638540e+01  1.72383112e+01 
-0.11027568922305786 -0.10869803318097837 -0.5154278208481298 1.500087002069904e-37 1.5000870020698986e-37 -2.724925580131938e-55	-0.12000000 -0.10630592   1.82482499e+00  1.81305071e+00  6.59660921e+00  6.54426798e+00  7.30439350e-04 -4.16381725e-03  1.14699471e-02  5.25299007e-02  4.79684326e+00  4.81527148e+00  1.73177065e+01  1.74008341e+01 
-0.09022556390977465 -0.1138419286265846 -0.5184640174215551 1.5147803742934943e-37 1.5147803742934897e-37 -2.7622967021549224e-55	-0.10000000 -0.11137483   1.80981715e+00  1.82529530e+00  6.58945856e+00  6.59897165e+00 -6.49260428e-04 -3.23052873e-03  5.83216973e-02  2.01994793e-03  4.81750850e+00  4.78740603e+00  1.74256893e+01  1.74193947e+01 
-0.07017543859649145 -0.11895848830587319 -0.5031966508798923 1.4942461652151804e-37 1.4942461652151873e-37 -2.7694668063345663e-55	-0.08000000 -0.11641079   1.82202343e+00  1.81027409e+00  6.60144390e+00  6.63641662e+00 -7.26223462e-03  3.10551284e-03  6.04497364e-03  5.39559652e-02  4.78508413e+00  4.81212389e+00  1.75232100e+01  1.74520671e+01 
-0.05012531328320824 -0.12375033256529466 -0.513556174527949 1.505806875197017e-37 1.5058068751970178e-37 -2.7557524521420686e-55	-0.06000000 -0.12142338   1.81393843e+00  1.81491382e+00  6.66914295e+00  6.60698114e+00  4.91358823e-03 -9.34370931e-03  3.91859036e-02  1.85612398e-02  4.79788471e+00  4.79015654e+00  1.74809490e+01  1.75959032e+01 
-0.030075187969925032 -0.1290172819247486 -0.5051911422249817 1.5057842950501015e-37 1.5057842950501008e-37 -2.801298608321738e-55	-0.04000000 -0.12641459   1.80661163e+00  1.81888330e+00  6.63142165e+00  6.69302046e+00 -8.06157821e-03  3.29979363e-03  3.40431453e-02  2.08714490e-02  4.79956088e+00  4.77973375e+00  1.76544663e+01  1.75472578e+01 
-0.010025062656641825 -0.13378807671756188 -0.49693906546154587 1.4867477866274082e-37 1.4867477866274105e-37 -2.77626596245097e-55	-0.02000000 -0.13137817   1.82139338e+00  1.80033408e+00  6.70025787e+00  6.66509960e+00 -1.47140929e-03 -3.55964146e-03  8.42013272e-03  4.71696998e-02  4.76422107e+00  4.80525788e+00  1.76288478e+01  1.76824064e+01 
0.010025062656641381 -0.1387368187711977 -0.508975258931458 1.511299204173026e-37 1.5112992041730256e-37 -2.8008757379770193e-55	 0.00000000 -0.13632584   1.79895762e+00  1.81871692e+00  6.70240972e+00  6.69859519e+00  2.04336132e-03 -7.44217580e-03  4.90901583e-02  3.06132962e-03  4.80055592e+00  4.75817861e+00  1.76946811e+01  1.77140705e+01 
0.030075187969924144 -0.14387317051397486 -0.49067171219385575 1.4876307297992562e-37 1.4876307297992548e-37 -2.8150678511406933e-55	 0.02000000 -0.14124629   1.81066333e+00  1.80307403e+00  6.70448475e+00  6.74219583e+00 -1.14990884e-02  5.84087629e-03  8.42098845e-03  4.17145020e-02  4.76420317e+00  4.78403041e+00  1.78026576e+01  1.77243705e+01 
0.050125313283207795 -0.14843414267519983 -0.4956275566383588 1.4908433299224462e-37 1.4908433299224418e-37 -2.7989695549537584e-55	 0.04000000 -0.14614260   1.80962030e+00  1.79952310e+00  6.76624265e+00  6.71396972e+00  5.39936206e-03 -1.13054990e-02  2.88123939e-02  2.10047525e-02  4.75959019e+00  4.77661607e+00  1.77581833e+01  1.78563337e+01 
0.07017543859649145 -0.1536055785450905 -0.49852771313322247 1.5051188873925667e-37 1.5051188873925692e-37 -2.836233039346973e-55	 0.06000000 -0.15102385   1.79026558e+00  1.81429411e+00  6.73694019e+00  6.78015095e+00 -6.64619806e-03  3.50169472e-04  3.25670879e-02  1.40243816e-02  4.78633938e+00  4.73770679e+00  1.78929544e+01  1.78189441e+01 
0.09022556390977421 -0.15837787715210916 -0.47972160286073057 1.472583601795737e-37 1.4725836017957415e-37 -2.8213713387239675e-55	 0.08000000 -0.15587555   1.81291438e+00  1.78699601e+00  6.78634243e+00  6.76971340e+00 -6.89156784e-03  3.86697256e-04  6.08955085e-03  4.04378095e-02  4.72792499e+00  4.78375068e+00  1.78979320e+01  1.79184410e+01 
0.11027568922305697 -0.16302730036548274 -0.4951276591536655 1.499317705912246e-37 1.499317705912246e-37 -2.8337384166497625e-55	 0.10000000 -0.16070980   1.79055086e+00  1.80405273e+00  6.79874716e+00  6.78455204e+00  5.89411942e-03 -1.26465889e-02  3.91251098e-02  5.07399755e-03  4.76473623e+00  4.73316576e+00  1.79273301e+01  1.79634309e+01 
0.13032581453634062 -0.16821185039054432 -0.4833649336082828 1.486177375299593e-37 1.4861773752995856e-37 -2.8520409488059748e-55	 0.12000000 -0.16552803   1.79103022e+00  1.79843454e+00  6.79278857e+00  6.82866575e+00 -1.36691151e-02  6.54205606e-03  1.08698645e-02  3.00913019e-02  4.74877224e+00  4.73560578e+00  1.80296861e+01  1.79580116e+01 
0.15037593984962427 -0.17265421232318845 -0.4750350242307796 1.4694023714928997e-37 1.4694023714928961e-37 -2.836909279482075e-55	 0.14000000 -0.17031805   1.80475577e+00  1.77930769e+00  6.84655558e+00  6.80641164e+00  1.65066199e-03 -9.02963331e-03  1.98056344e-02  2.21305520e-02  4.70796526e+00  4.76185823e+00  1.79982617e+01  1.80718616e+01 
