#mu n n_h sigma_xx sigma_yy sigma_xy	#mu          density      sigma1_xx       sigma2_xx       sigma1_xy       sigma2_xy       alpha1_xx       alpha2_xx       alpha1_xy       alpha2_xy       beta1_xx        beta2_xx        beta1_xy        beta2_xy
-3.3784461152882206 0.9697171375685618 0.015220969447281142 8.786560279187457e-39 8.786560279187438e-39 3.1658116844726854e-56	-3.38000000  0.96993602   1.05348520e-01  1.05348521e-01 -7.54148468e-01 -7.54148516e-01  1.22452406e-02  1.22452409e-02 -8.17319769e-02 -8.17319968e-02  2.78171060e-01  2.78171061e-01 -1.98687770e+00 -1.98687776e+00 
-3.3583959899749374 0.9668839905525815 0.016652115329108215 9.553991610295236e-39 9.553991610295233e-39 3.421290152526132e-56	-3.36000000  0.96711125   1.14593964e-01  1.14593963e-01 -8.15373300e-01 -8.15373242e-01  1.21835344e-02  1.21835324e-02 -8.00407229e-02 -8.00406082e-02  3.02592357e-01  3.02592350e-01 -2.14860772e+00 -2.14860733e+00 
-3.338345864661654 0.9640344059160643 0.01809682303248549 1.0317411272546853e-38 1.0317411272546862e-38 3.6713750503430832e-56	-3.34000000  0.96427012   1.23791543e-01  1.23791540e-01 -8.75311919e-01 -8.75311723e-01  1.21195425e-02  1.21195401e-02 -7.83336466e-02 -7.83335122e-02  3.26890451e-01  3.26890439e-01 -2.30694106e+00 -2.30694038e+00 
-3.318295739348371 0.9611681235948525 0.01955541193425961 1.1076717160300499e-38 1.1076717160300499e-38 3.916018818091971e-56	-3.32000000  0.96141240   1.32939912e-01  1.32939914e-01 -9.33952463e-01 -9.33952517e-01  1.20539939e-02  1.20539948e-02 -7.66110436e-02 -7.66110898e-02  3.51060536e-01  3.51060536e-01 -2.46184473e+00 -2.46184469e+00 
-3.2982456140350878 0.9582848621992615 0.02102833541612386 1.1831836705278644e-38 1.1831836705278634e-38 4.155172375194743e-56	-3.30000000  0.95853782   1.42038135e-01  1.42038146e-01 -9.91283387e-01 -9.91283957e-01  1.19873501e-02  1.19873555e-02 -7.48729771e-02 -7.48732536e-02  3.75099410e-01  3.75099438e-01 -2.61328720e+00 -2.61328867e+00 
-3.2781954887218046 0.9553843613292008 0.022516149710323535 1.2582716829378673e-38 1.2582716829378658e-38 4.388785189711881e-56	-3.28000000  0.95564613   1.51085543e-01  1.51085556e-01 -1.04729328e+00 -1.04729402e+00  1.19199127e-02  1.19199225e-02 -7.31192597e-02 -7.31197751e-02  3.99004866e-01  3.99004913e-01 -2.76123764e+00 -2.76124021e+00 
-3.2581453634085213 0.9524663641453756 0.024019491206024892 1.3329318133846119e-38 1.3329318133846108e-38 4.61680646594865e-56	-3.26000000  0.95273705   1.60081638e-01  1.60081641e-01 -1.10197039e+00 -1.10197059e+00  1.18518858e-02  1.18519002e-02 -7.13496002e-02 -7.13503611e-02  4.22775325e-01  4.22775368e-01 -2.90566475e+00 -2.90566706e+00 
-3.238095238095238 0.9495306057246274 0.025539063973767737 1.4071611146260887e-38 1.4071611146260913e-38 4.83918562025524e-56	-3.24000000  0.94981031   1.69026045e-01  1.69026029e-01 -1.15530243e+00 -1.15530160e+00  1.17834131e-02  1.17834294e-02 -6.95636793e-02 -6.95645595e-02  4.46409616e-01  4.46409635e-01 -3.04653589e+00 -3.04653693e+00 
-3.218045112781955 0.946576789039449 0.027075639563023043 1.4809573179366807e-38 1.4809573179366812e-38 5.055870789806128e-56	-3.22000000  0.94686561   1.77918470e-01  1.77918431e-01 -1.20727669e+00 -1.20727472e+00  1.17145988e-02  1.17146117e-02 -6.77611573e-02 -6.77618707e-02  4.69906854e-01  4.69906850e-01 -3.18381743e+00 -3.18381720e+00 
-3.1979949874686717 0.9436046255210173 0.028630055373723214 1.5543186637971757e-38 1.5543186637971775e-38 5.266808673549219e-56	-3.20000000  0.94390269   1.86758686e-01  1.86758629e-01 -1.25788020e+00 -1.25787729e+00  1.16455213e-02  1.16455247e-02 -6.59416500e-02 -6.59418798e-02  4.93266366e-01  4.93266351e-01 -3.31747511e+00 -3.31747434e+00 
-3.1779448621553885 0.9406137934579466 0.03020321547050318 1.6272437702076667e-38 1.627243770207669e-38 5.471944205132739e-56	-3.18000000  0.94092121   1.95546518e-01  1.95546448e-01 -1.30709981e+00 -1.30709622e+00  1.15762366e-02  1.15762265e-02 -6.41045565e-02 -6.41040948e-02  5.16487631e-01  5.16487622e-01 -3.44747374e+00 -3.44747329e+00 
